설치순위,정류장명,정류장 ID,중심점 위치,,"광고
Target층",비고
,,,X축좌표(경도),Y축좌표(위도),,
1,청명역1번출구.청명산,203000121,127.080218,37.260481,30대 여성,
2,수원역.AK플라자,202000106,127.000903,37.267365,20대 여성,
3,수원순복음교회,201000191,127.036151,37.245617,40대 남성,
4,수원버스터미널,201000009,127.019491,37.251001,40대 남성,
5,아주대학교입구,203000067,127.044118,37.275953,40대 여성,
6,차세대융합기술연구원.푸르지오월드마크,203000041,127.047881,37.293429,40대 남성,
7,황골주공.벽산아파트,203000077,127.081905,37.265295,30대 여성,
8,세류2동주민센터,201000194,127.012726,37.252895,50대 남성,
9,서수원버스터미널,201000116,126.970863,37.282907,50대 남성,
10,수원가정법원.동수원등기소,203000038,127.074895,37.256443,40대 여성,
11,화서역,202000090,126.990107,37.283895,40대 여성,
12,수원시청역9번출구.국민연금공단,202000020,127.032514,37.262877,30대 남성,
13,수원컨벤션센터.롯데아울렛,203000276,127.057482,37.285982,40대 여성,
14,살구골공원.영통역3번출구,203000135,127.073539,37.249918,40대 남성,
15,고색역.고색초교.태산아파트,201000023,126.97993,37.250431,40대 남성,
16,수원아이파크시티.선일초교,201000430,127.028889,37.247274,50대 여성,
17,월드메르디앙,202000092,127.037045,37.280164,40대 여성,
18,KT남수원지사,201000004,127.024152,37.261158,50대 남성,
19,KT동수원지사,203000177,127.051432,37.27323,40대 여성,
20,인계사거리,202000063,127.026513,37.267188,40대 남성,
21,경기일보.한일타운,200000194,127.004917,37.304058,50대 남성,
22,우만주공4단지,200000197,127.030402,37.292478,40대 남성,
23,수원여대입구,201000168,126.965266,37.245974,40대 남성,
24,성균관대역,200000161,126.972887,37.299928,40대 남성,
25,매탄권선역.화홍고등학교,201000204,127.040521,37.252715,40대 남성,
26,그대가프리미어아파트.망포역3번출구,203000150,127.056186,37.24473,40대 남성,
27,녹산문고앞,202000052,127.018099,37.275115,60대 이상 여성,
28,장안문.느림보타운,200000188,127.012609,37.291281,60대 이상 남성,
29,광교휴먼시아32단지정문,203000285,127.06775,37.292814,40대 남성,
30,금곡동행정복지센터.호매실파출소,201000414,126.952922,37.273841,40대 남성,
